dTime	Pressure derivative
(hr)	(bar)
0.001390457	0.317711374
0.002775192	0.299432471
0.004165649	0.253567769
0.005556107	0.225404826
0.006946564	0.214499936
0.008331299	0.208977593
0.009721756	0.206073098
0.011112213	0.20444022
0.012496948	0.203865681
0.013887405	0.203816278
0.015277863	0.204212034
0.01666832	0.20472313
0.018053055	0.205196108
0.019443512	0.206181671
0.020833969	0.206562341
0.022218704	0.207189008
0.023609161	0.207893689
0.024999619	0.208333192
0.026390076	0.208868507
0.027774811	0.209441017
0.029165268	0.209766074
0.030555725	0.210433501
0.031946182	0.210787643
0.033330917	0.210998841
0.034721375	0.21169158
0.036111832	0.210814242
0.037496567	0.211995391
0.038887024	0.211629837
0.040277481	0.21253445
0.041667938	0.213038411
0.043052673	0.213306
0.044443131	0.213360273
0.045833588	0.213759352
0.047224045	0.213806798
0.04860878	0.213949792
0.049999237	0.214540863
0.051389694	0.214368459
0.052774429	0.214346914
0.054164887	0.214985567
0.055555344	0.21472159
0.056945801	0.215391055
0.058330536	0.216882613
0.059720993	0.214965154
0.06111145	0.216781126
0.063886643	0.214301634
0.066667557	0.214554844
0.069442749	0.215159857
0.072223663	0.215477142
0.074998856	0.215963908
0.07777977	0.216689756
0.080554962	0.216813905
0.083330154	0.217533842
0.086111069	0.217869287
0.088886261	0.218087343
0.091667175	0.218636385
0.094442368	0.219064798
0.097223282	0.219391615
0.099998474	0.219906651
0.102779388	0.220111053
0.105554581	0.220257098
0.108335495	0.220854501
0.111110687	0.220934272
0.11388588	0.221566833
0.116666794	0.222076458
0.119441986	0.221949305
0.1222229	0.222271813
0.12638855	0.222270106
0.130554199	0.22255502
0.134719849	0.222936706
0.138885498	0.223494553
0.14305687	0.223957509
0.147222519	0.224297556
0.151388168	0.224922267
0.155553818	0.225372982
0.159719467	0.225873516
0.163890839	0.226378168
0.168056488	0.226924176
0.172222138	0.227284384
0.176387787	0.227616491
0.180553436	0.227526278
0.184719086	0.227731514
0.190275192	0.227806512
0.195831299	0.228206082
0.201387405	0.228899706
0.206943512	0.229266778
0.212499619	0.229589331
0.218055725	0.229922594
0.223611832	0.230290015
0.229167938	0.230404029
0.234724045	0.23083816
0.240274429	0.231111546
0.245830536	0.231149061
0.2527771	0.23160001
0.259723663	0.231737221
0.266664505	0.231789445
0.273611069	0.232184232
0.280557632	0.232519102
0.287498474	0.232629485
0.294445038	0.232696079
0.30138588	0.232709503
0.3097229	0.232658867
0.318054199	0.232810519
0.326385498	0.233294198
0.334722519	0.233402523
0.343053818	0.233213517
0.351390839	0.233467819
0.359722138	0.233366009
0.368053436	0.233184036
0.377775192	0.233433786
0.387496948	0.233153296
0.397218704	0.233082142
0.406946182	0.23302824
0.416667938	0.232974764
0.426389694	0.232768512
0.437501907	0.232593512
0.448608398	0.232854334
0.459720612	0.232613781
0.470832825	0.232274601
0.481945038	0.232055315
0.494441986	0.231820828
0.506944656	0.231353735
0.519441605	0.231647887
0.531944275	0.231101798
0.544441223	0.230586601
0.558334351	0.230724887
0.572221756	0.229889018
0.586109161	0.229960506
0.599996567	0.22961143
0.613889694	0.228897563
0.629167557	0.228835326
0.644445419	0.228468068
0.659723282	0.228270959
0.675001144	0.228036751
0.691663742	0.227398052
0.708332062	0.226802831
0.725000382	0.22636667
0.743053436	0.225897316
0.761112213	0.225688622
0.779165268	0.225211419
0.797224045	0.224686174
0.816667557	0.224395733
0.836111069	0.223841048
0.855554581	0.223600479
0.87638855	0.223249818
0.897222519	0.222557581
0.918056488	0.222544144
0.940275192	0.222063109
0.962499619	0.22148354
0.984724045	0.220921934
1.008333206	0.220401595
1.031942368	0.219952599
1.056941986	0.21954018
1.081941605	0.219426925
1.106941223	0.218836686
1.133331299	0.218672962
1.159721375	0.218919472
1.187501907	0.218377868
1.215276718	0.217835776
1.244441986	0.217224153
1.273612976	0.21661477
1.304168701	0.216243597
1.334718704	0.216236778
1.366664887	0.216100142
1.398611069	0.21554282
1.431941986	0.215586775
1.465278626	0.215223847
1.5	0.21504273
