dTime	Pressure derivative
(hr)	(bar)
0.001387596	0.319753999
0.002778053	0.301183222
0.004165649	0.255658741
0.005556107	0.227465232
0.006943703	0.216354809
0.00833416	0.210987828
0.009721756	0.207684015
0.011109352	0.206329738
0.012499809	0.20569805
0.013887405	0.2057412
0.015277863	0.206090982
0.016665459	0.206521484
0.018055916	0.207135656
0.019443512	0.207715279
0.020833969	0.208540002
0.022221565	0.208966813
0.023609161	0.209715988
0.024999619	0.210177631
0.026387215	0.210661904
0.027777672	0.211343689
0.029165268	0.211741016
0.030555725	0.212163407
0.031943321	0.212577041
0.033333778	0.212936251
0.034721375	0.213264306
0.036111832	0.212972009
0.037499428	0.213944757
0.038887024	0.213516991
0.040277481	0.214371454
0.041665077	0.214709274
0.043055534	0.2150629
0.044443131	0.215158338
0.045833588	0.215612584
0.047221184	0.215702336
0.048611641	0.215928117
0.049999237	0.216049916
0.051389694	0.216257838
0.05277729	0.216215974
0.054164887	0.216688086
0.055555344	0.216643617
0.05694294	0.21738022
0.058333397	0.218602471
0.059720993	0.216717793
0.06111145	0.218758132
0.063889504	0.215907241
0.066664696	0.216366379
0.069442749	0.217052599
0.072220802	0.217409523
0.074998856	0.217755005
0.077776909	0.218393195
0.080554962	0.218734193
0.083333015	0.219198843
0.086111069	0.219664594
0.088889122	0.219947529
0.091667175	0.220364915
0.094445229	0.220572788
0.097220421	0.221211356
0.099998474	0.221520336
0.102776527	0.221972272
0.105554581	0.222481529
0.108332634	0.222385751
0.111110687	0.222918877
0.113888741	0.22322259
0.116666794	0.223541786
0.119444847	0.22378498
0.1222229	0.223712279
0.12638855	0.223690854
0.130554199	0.223918609
0.13472271	0.224688285
0.138888359	0.225255946
0.143054009	0.225766451
0.147222519	0.226161994
0.151388168	0.226455827
0.155553818	0.22706351
0.159722328	0.227299553
0.163887978	0.227789342
0.168053627	0.228112311
0.172222138	0.228720048
0.176387787	0.229086647
0.180556297	0.229347095
0.184721947	0.229562006
0.190278053	0.229449397
0.19583416	0.229551049
0.201387405	0.230009916
0.206943512	0.230436354
0.212499619	0.230758621
0.218055725	0.231437069
0.223611832	0.231840305
0.229165077	0.231932518
0.234721184	0.23240186
0.24027729	0.232416112
0.245833397	0.232546126
0.2527771	0.232731759
0.259720802	0.232950301
0.266667366	0.233044046
0.273611069	0.23341946
0.280554771	0.233502172
0.287498474	0.233596078
0.294445038	0.233736672
0.301388741	0.233540588
0.3097229	0.233886044
0.318054199	0.233847742
0.326388359	0.234338281
0.334722519	0.234169147
0.343053818	0.234345797
0.351387978	0.234277585
0.359722138	0.233956628
0.368056297	0.23417294
0.377778053	0.234188214
0.387499809	0.234082161
0.397221565	0.234014005
0.406943321	0.234006021
0.416665077	0.233431048
0.426389694	0.233607728
0.437499046	0.233542803
0.44861126	0.233284175
0.459720612	0.23302687
0.470832825	0.232873662
0.481945038	0.232404866
0.494444847	0.23202862
0.506944656	0.231988429
0.519444466	0.231724296
0.531944275	0.231300226
0.544444084	0.231258763
0.55833149	0.230858394
0.572221756	0.230504086
0.586109161	0.230283636
0.599999428	0.229759761
0.613889694	0.229543872
0.629164696	0.228973537
0.644442558	0.228733484
0.659720421	0.228341103
0.674998283	0.227628229
0.691666603	0.227149904
0.708332062	0.226521591
0.725000382	0.22628812
0.743056297	0.22597189
0.761109352	0.225609728
0.779165268	0.225324848
0.797221184	0.224627187
0.816664696	0.22417994
0.836111069	0.223615141
