Time	Pressure
(-)	(bara)
29.07.2015 20:24:51	296.7770691
29.07.2015 20:26:02	296.7821655
29.07.2015 20:27:11	296.7871399
29.07.2015 20:28:27	296.7923279
29.07.2015 20:29:42	296.7973938
29.07.2015 20:30:56	296.8023071
29.07.2015 20:32:17	296.8074341
29.07.2015 20:33:37	296.8124084
29.07.2015 20:34:56	296.8172607
29.07.2015 20:36:22	296.8222961
29.07.2015 20:37:47	296.8272095
29.07.2015 20:39:17	296.8322449
29.07.2015 20:40:47	296.8371582
29.07.2015 20:42:17	296.8419495
29.07.2015 20:43:52	296.8468628
29.07.2015 20:45:26	296.8516846
29.07.2015 20:47:06	296.8565979
29.07.2015 20:48:46	296.8613892
29.07.2015 20:50:32	296.8663025
29.07.2015 20:52:16	296.8710632
29.07.2015 20:54:06	296.875946
29.07.2015 20:55:56	296.8807068
29.07.2015 20:57:51	296.8855286
29.07.2015 20:59:47	296.8902588
29.07.2015 21:01:47	296.89505
29.07.2015 21:03:47	296.8997192
29.07.2015 21:05:52	296.9044495
29.07.2015 21:07:56	296.9090881
29.07.2015 21:10:07	296.9137573
29.07.2015 21:12:21	296.9185181
29.07.2015 21:14:36	296.9231262
29.07.2015 21:16:57	296.9277954
29.07.2015 21:19:17	296.932373
29.07.2015 21:21:42	296.9369507
29.07.2015 21:24:11	296.9415894
29.07.2015 21:26:42	296.9461365
29.07.2015 21:29:17	296.9506836
29.07.2015 21:31:56	296.9552917
29.07.2015 21:34:41	296.9598999
29.07.2015 21:37:26	296.964386
29.07.2015 21:40:16	296.9689026
29.07.2015 21:43:11	296.9734802
29.07.2015 21:46:12	296.9780579
29.07.2015 21:49:16	296.9826355
29.07.2015 21:52:22	296.9870911
29.07.2015 21:55:31	296.9915771
29.07.2015 21:58:47	296.9960632
29.07.2015 22:02:07	297.0005493
29.07.2015 22:05:31	297.0050049
29.07.2015 22:09:01	297.009491
29.07.2015 22:12:37	297.0139465
29.07.2015 22:16:17	297.0184021
29.07.2015 22:20:02	297.0228577
29.07.2015 22:23:52	297.0272827
29.07.2015 22:27:47	297.0316772
29.07.2015 22:31:47	297.0360718
29.07.2015 22:35:52	297.0404358
29.07.2015 22:40:01	297.0447998
29.07.2015 22:44:16	297.0491333
29.07.2015 22:48:41	297.0535278
29.07.2015 22:53:12	297.0578613
29.07.2015 22:57:47	297.0621948
29.07.2015 23:02:27	297.0664978
29.07.2015 23:07:16	297.0708313
29.07.2015 23:12:12	297.0751343
29.07.2015 23:17:12	297.0794067
29.07.2015 23:22:22	297.0837097
29.07.2015 23:27:36	297.0879517
29.07.2015 23:33:02	297.0922546
29.07.2015 23:38:32	297.0964661
29.07.2015 23:44:11	297.1007385
29.07.2015 23:49:57	297.10495
29.07.2015 23:55:52	297.1091614
30.07.2015 00:00:18	297.1122742
30.07.2015 00:01:51	297.1133423
30.07.2015 00:08:02	297.1175232
30.07.2015 00:14:22	297.1217346
30.07.2015 00:20:52	297.1259155
30.07.2015 00:27:27	297.1300354
30.07.2015 00:34:12	297.1341858
30.07.2015 00:41:07	297.1383057
30.07.2015 00:48:12	297.142395
30.07.2015 00:55:27	297.1465149
30.07.2015 01:02:51	297.1506042
30.07.2015 01:10:26	297.1546631
30.07.2015 01:18:11	297.1587219
30.07.2015 01:26:07	297.1627502
30.07.2015 01:34:11	297.1667786
30.07.2015 01:42:32	297.1708069
30.07.2015 01:51:01	297.1748047
30.07.2015 01:59:42	297.1788025
30.07.2015 02:08:36	297.1827698
30.07.2015 02:17:41	297.1867371
30.07.2015 02:27:02	297.1907043
30.07.2015 02:36:31	297.1946411
30.07.2015 02:46:16	297.1985779
30.07.2015 02:56:16	297.2025146
30.07.2015 03:06:27	297.2063904
30.07.2015 03:16:52	297.2102966
30.07.2015 03:27:32	297.2141724
30.07.2015 03:38:27	297.2180481
30.07.2015 03:49:36	297.2218933
30.07.2015 04:01:01	297.2257385
30.07.2015 04:12:41	297.2295532
30.07.2015 04:24:42	297.233429
30.07.2015 04:36:56	297.2372437
30.07.2015 23:54:11	297.4253235
30.07.2015 23:54:11	297.4253235
31.07.2015 00:02:50	296.7566833
31.07.2015 01:38:22	296.6325989
31.07.2015 01:38:22	296.6325989
31.07.2015 09:46:37	293.346344
31.07.2015 09:46:37	293.346344
31.07.2015 09:46:42	295.3623047
31.07.2015 09:46:46	295.6069641
31.07.2015 09:46:51	295.7108154
31.07.2015 09:46:57	295.7766418
31.07.2015 09:47:02	295.8251343
31.07.2015 09:47:06	295.8633728
31.07.2015 09:47:12	295.8951416
31.07.2015 09:47:17	295.9224243
31.07.2015 09:47:21	295.9463806
31.07.2015 09:47:26	295.967804
31.07.2015 09:47:32	295.9872131
31.07.2015 09:47:37	296.0049438
31.07.2015 09:47:41	296.0213318
31.07.2015 09:47:46	296.0365295
31.07.2015 09:47:52	296.0507202
31.07.2015 09:47:56	296.0640564
31.07.2015 09:48:01	296.0765991
31.07.2015 09:48:07	296.0884705
