POWER      , FUEL
0,0
0.1,84000
5,84000
15,120000
20,141840
25,163440
30,181200
35,197040
40,214800
42,222720
42.01,283200
45,294864
50,314400
60,354400
65,371200
70,388000
75,404800
80,421600
85,438400
90,455200
95,472000
100,488800
